"partner_name","month","total_tests","pass_rate_pct"
"AT&T","2024-07","168","93.45"
"AT&T","2024-08","159","94.34"
"AT&T","2024-09","174","94.25"
"AT&T","2024-10","179","97.21"
"AT&T","2024-11","173","97.11"
"AT&T","2024-12","169","95.86"
"China Mobile","2024-07","168","76.19"
"China Mobile","2024-08","190","77.37"
"China Mobile","2024-09","185","72.43"
"China Mobile","2024-10","167","64.07"
"China Mobile","2024-11","167","67.66"
"China Mobile","2024-12","177","64.97"
"Claro Brazil","2024-07","162","77.16"
"Claro Brazil","2024-08","176","76.14"
"Claro Brazil","2024-09","179","75.42"
"Claro Brazil","2024-10","154","73.38"
"Claro Brazil","2024-11","156","73.72"
"Claro Brazil","2024-12","163","71.78"
"Deutsche Telekom","2024-07","160","98.13"
"Deutsche Telekom","2024-08","149","98.66"
"Deutsche Telekom","2024-09","164","98.17"
"Deutsche Telekom","2024-10","169","100.00"
"Deutsche Telekom","2024-11","168","98.81"
"Deutsche Telekom","2024-12","169","98.82"
"Etisalat UAE","2024-07","171","88.89"
"Etisalat UAE","2024-08","166","83.13"
"Etisalat UAE","2024-09","176","87.50"
"Etisalat UAE","2024-10","165","87.27"
"Etisalat UAE","2024-11","142","88.73"
"Etisalat UAE","2024-12","177","83.05"
"Jio India","2024-07","175","90.86"
"Jio India","2024-08","173","90.75"
"Jio India","2024-09","157","93.63"
"Jio India","2024-10","165","91.52"
"Jio India","2024-11","177","91.53"
"Jio India","2024-12","184","95.11"
"MTN South Africa","2024-07","165","73.33"
"MTN South Africa","2024-08","184","84.24"
"MTN South Africa","2024-09","165","80.61"
"MTN South Africa","2024-10","174","72.99"
"MTN South Africa","2024-11","161","78.88"
"MTN South Africa","2024-12","168","77.38"
"NTT Docomo","2024-07","159","96.86"
"NTT Docomo","2024-08","183","99.45"
"NTT Docomo","2024-09","167","100.00"
"NTT Docomo","2024-10","192","98.44"
"NTT Docomo","2024-11","160","98.13"
"NTT Docomo","2024-12","172","98.84"
"Optus","2024-07","176","88.07"
"Optus","2024-08","161","90.68"
"Optus","2024-09","161","91.93"
"Optus","2024-10","160","88.75"
"Optus","2024-11","183","89.07"
"Optus","2024-12","168","91.07"
"Orange France","2024-07","165","95.76"
"Orange France","2024-08","175","96.00"
"Orange France","2024-09","160","95.63"
"Orange France","2024-10","174","92.53"
"Orange France","2024-11","187","97.33"
"Orange France","2024-12","165","96.97"
"Safaricom","2024-07","180","76.67"
"Safaricom","2024-08","168","72.62"
"Safaricom","2024-09","176","72.73"
"Safaricom","2024-10","180","62.78"
"Safaricom","2024-11","172","65.12"
"Safaricom","2024-12","165","65.45"
"SingTel","2024-07","184","94.02"
"SingTel","2024-08","177","92.09"
"SingTel","2024-09","169","94.67"
"SingTel","2024-10","153","93.46"
"SingTel","2024-11","178","94.94"
"SingTel","2024-12","162","95.06"
"SK Telecom","2024-07","172","96.51"
"SK Telecom","2024-08","173","96.53"
"SK Telecom","2024-09","155","96.77"
"SK Telecom","2024-10","178","95.51"
"SK Telecom","2024-11","156","94.87"
"SK Telecom","2024-12","168","92.26"
"T-Mobile USA","2024-07","173","93.64"
"T-Mobile USA","2024-08","172","94.19"
"T-Mobile USA","2024-09","180","94.44"
"T-Mobile USA","2024-10","159","89.94"
"T-Mobile USA","2024-11","154","92.86"
"T-Mobile USA","2024-12","174","96.55"
"Telcel Mexico","2024-07","173","79.77"
"Telcel Mexico","2024-08","163","84.05"
"Telcel Mexico","2024-09","164","81.10"
"Telcel Mexico","2024-10","173","80.35"
"Telcel Mexico","2024-11","176","77.84"
"Telcel Mexico","2024-12","157","78.34"
"Telecom Italia","2024-07","154","87.66"
"Telecom Italia","2024-08","181","86.74"
"Telecom Italia","2024-09","177","90.40"
"Telecom Italia","2024-10","157","92.36"
"Telecom Italia","2024-11","154","90.26"
"Telecom Italia","2024-12","185","84.86"
"Telenor Norway","2024-07","171","98.25"
"Telenor Norway","2024-08","161","98.14"
"Telenor Norway","2024-09","173","95.38"
"Telenor Norway","2024-10","160","96.25"
"Telenor Norway","2024-11","172","96.51"
"Telenor Norway","2024-12","165","97.58"
"Turkcell","2024-07","179","84.36"
"Turkcell","2024-08","161","82.61"
"Turkcell","2024-09","160","80.63"
"Turkcell","2024-10","168","86.31"
"Turkcell","2024-11","163","85.28"
"Turkcell","2024-12","178","82.02"
"Vodafone UK","2024-07","175","95.43"
"Vodafone UK","2024-08","157","96.82"
"Vodafone UK","2024-09","177","96.05"
"Vodafone UK","2024-10","174","94.83"
"Vodafone UK","2024-11","160","87.50"
"Vodafone UK","2024-12","165","93.33"
"Zain KSA","2024-07","159","85.53"
"Zain KSA","2024-08","169","84.62"
"Zain KSA","2024-09","152","84.87"
"Zain KSA","2024-10","176","86.36"
"Zain KSA","2024-11","156","82.05"
"Zain KSA","2024-12","172","83.72"
