"region","partner_name","pass_rate_pct","rank_in_region"
"Americas","AT&T","95.40","1"
"Americas","T-Mobile USA","93.68","2"
"Americas","Telcel Mexico","80.22","3"
"Americas","Claro Brazil","74.65","4"
"APAC","NTT Docomo","98.64","1"
"APAC","SK Telecom","95.41","2"
"APAC","SingTel","94.04","3"
"APAC","Jio India","92.24","4"
"APAC","Optus","89.89","5"
"APAC","China Mobile","70.59","6"
"Europe","Deutsche Telekom","98.77","1"
"Europe","Telenor Norway","97.01","2"
"Europe","Orange France","95.71","3"
"Europe","Vodafone UK","94.05","4"
"Europe","Telecom Italia","88.59","5"
"MEA","Etisalat UAE","86.36","1"
"MEA","Zain KSA","84.55","2"
"MEA","Turkcell","83.55","3"
"MEA","MTN South Africa","77.97","4"
"MEA","Safaricom","69.26","5"
